date,time,timezone,username,tweet
17/04/2019,18:46:06,Eastern Daylight Time,hilaryjhendel,"“The problem is no one can see my scars.” She knew intuitively that her depression, anxiety and deep-seated insecurity were wounds that stemmed from verbal abuse. “I wish I was beaten,” Marta shared on more than one occasion. “I’d feel more legitimate.”  https://www.hilaryjacobshendel.com/single-post/2017/09/07/The-Problem-With-Yelling … pic.twitter.com/1hCEvSaWrC"
17/04/2019,18:46:05,Eastern Daylight Time,chronicgamerguy,And due to what's going to happen later. My storm anxiety womt let me sleep. Meh. Btw you should come out may 3rd for my bday :p
17/04/2019,18:45:59,Eastern Daylight Time,jennnaglavin,My doctor continuously tells me not to drink coffee bc anxiety and I do it anyways and absolutely hate myself for it every time 😤😤😤
17/04/2019,18:45:49,Eastern Daylight Time,amelia_kathleen,“AnXIetY IsNT ReAL”
17/04/2019,18:45:46,Eastern Daylight Time,moharris92,It’s been so long since I’ve watched any TV shows that I actually have anxiety about trying to catch up on the ones I like 😬😬😬
17/04/2019,18:45:45,Eastern Daylight Time,faidtheirshad,So here that is. Anxiety is back at it again.
17/04/2019,18:45:44,Eastern Daylight Time,legallatino,Current anxiety.  https://www.facebook.com/story.php?story_fbid=10106547189551680&id=22907054 …
17/04/2019,18:45:41,Eastern Daylight Time,garethholmanphd,Sometimes I think of it in evolutionary terms: language biases towards simple and uni-dimensional explanations that then constrain behavior and thought (because the boundaries are reinforced by anxiety). Behavioral and cognitive rigidity is a low level equilibrium.
17/04/2019,18:45:41,Eastern Daylight Time,skypetherapist,Therapy via Skype for Anxiety and Depression  https://pdmstrong.wordpress.com/therapy-via-skype/ … pic.twitter.com/9tKvlaN5Qk
17/04/2019,18:45:41,Eastern Daylight Time,haewitch,social anxiety hit me HARD today ill tell you that
17/04/2019,18:45:38,Eastern Daylight Time,slayota,he really ruined my kitten now he has stranger anxiety and my favorite thing about remy was that he was so friendly and loved everyone. that’s literally why i kept him😭
17/04/2019,18:45:35,Eastern Daylight Time,dugthemusic,CBD does ok for anxiety but I've never taken enough for it to do much for pain and here in OH it's prohibitively expensive. While we're on goofy hippie solutions have you tried kratom? Full disclosure I haven't
17/04/2019,18:45:30,Eastern Daylight Time,charlottescove,"Life is a stress and I just wanna have fun after work without having to worry about getting involved in drama and dumb shit, anxiety is also a dumb bitch but that aint changing   Im doing okay , Great in fact - i just am not sure what I want to do in the future"
17/04/2019,18:45:26,Eastern Daylight Time,is_fusion,It can be done; and once it is any worries about #energy will be finished. We won’t worry about energy any more than we have anxiety over whether water will come out of the tap. #FusionEnergy https://twitter.com/m_claessens/status/1118608533371723776 …
17/04/2019,18:45:24,Eastern Daylight Time,julialrusso4,i have a lot of ideas and a lot of anxiety: a tragedy
17/04/2019,18:45:22,Eastern Daylight Time,frankpking,Electricity rates for our EV remain stable at eight cents per kWh during super off-peak charging hours. We can drive 200 miles for the cost of one gallon of gasoline. Still have range anxiety?  http://enewspaper.latimes.com/infinity/article_share.aspx?guid=2079f4fa-6b7c-43ec-af77-41b05c66cd96 …
17/04/2019,18:45:20,Eastern Daylight Time,savagesam__,i wish my anxiety would fuck off :/
17/04/2019,18:45:20,Eastern Daylight Time,crowe_fraser,Scrolling through Twitter with anxiety knowing that there are sick people out there who know Endgame spoilers... and they could be right here in my TL 😓😓 STRESS
17/04/2019,18:45:17,Eastern Daylight Time,dalleaqua,"Or a sign of shyness, feeling intimidated, anxiety, you name it.  (How fast was she speaking? Extremely.)  I've eaten.."
17/04/2019,18:45:15,Eastern Daylight Time,plutoschildd,i have a stuffed animal i’ve had since i was 2. he has been there with me through every big move in my life or big event. i still sleep with him next to me or hold him when i’m having an anxiety attack. and i don’t ever plan on getting rid of him.
17/04/2019,18:45:14,Eastern Daylight Time,sirdanielmeyer,Me trying to keep my anxiety at bay  pic.twitter.com/WQl9jvauCe
17/04/2019,18:45:11,Eastern Daylight Time,hgmurgatroyd,Missed the last train home and ended up sobbing while having a panic attack 🤦‍♀️ anxiety who?   (I’m fine now - just feel bad for the poor station staff I sobbed at. Genuinely couldn’t reign in my emotions enough to think)
17/04/2019,18:45:09,Eastern Daylight Time,yellowtoriaa,I think I'm crashing from the caffeine and my anxiety is hitting hard and I'm spiralling so off to bed I go 👌🏼
17/04/2019,18:45:09,Eastern Daylight Time,yelena_simone,My anxiety is not letting me nap
17/04/2019,18:45:06,Eastern Daylight Time,shalom__,First of all: driving in Detroit gives me anxiety
17/04/2019,18:45:04,Eastern Daylight Time,mitchellhelen_,Break Free of Your Anxiety and Phobias in 4 Simple Steps  http://dlvr.it/R31mzs  pic.twitter.com/n888kDJdd6
